welc_advance.keys,welc_advance.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,consentClick.x,consentClick.y,consentClick.leftButton,consentClick.midButton,consentClick.rightButton,consentClick.time,consentClick.clicked_name,instr_advance.keys,instr_advance.rt,spec_instr_adv.keys,spec_instr_adv.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,cond,face_file,key_map,instr,key_resp.keys,redo_keypress.keys,redo_keypress.rt,redo_feedback_loop.thisRepN,redo_feedback_loop.thisTrialN,redo_feedback_loop.thisN,redo_feedback_loop.thisIndex,redo_feedback_loop.ran,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,key_resp.rt,attractiveness_slider.response,attractiveness_slider.rt,contResp.keys,contResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,contResp_2.keys,contResp_2.rt,respQ1.response,respQ1.rt,respQ2.response,respQ2.rt,respQ3.response,respQ3.rt,respQ4.response,respQ4.rt,respQ5.response,respQ5.rt,respQ6.response,respQ6.rt,respQ7.response,respQ7.rt,respQ8.response,respQ8.rt,nextClick.x,nextClick.y,nextClick.leftButton,nextClick.midButton,nextClick.rightButton,nextClick.clicked_name,respQ9.response,respQ9.rt,respQ10.response,respQ10.rt,respQ11.response,respQ11.rt,respQ12.response,respQ12.rt,respQ13.response,respQ13.rt,respQ14.response,respQ14.rt,respQ15.response,respQ15.rt,respQ16.response,respQ16.rt,nextClick_2.x,nextClick_2.y,nextClick_2.leftButton,nextClick_2.midButton,nextClick_2.rightButton,nextClick_2.clicked_name,exitKey.keys,exitKey.rt
space,2.133,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,0.014814815,-0.421296296,1,0,0,0.97,iAgree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,space,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,,,space,0.862,0,0,0,0,1,MF,img/B09_01.jpg,DK,Press D if the face is MALE and K if the face is FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,space,0.789,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,1,0,1,0,1,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,MF,img/B09_01.jpg,DK,Press D if the face is MALE and K if the face is FEMALE,,,,,,,,,,,,,,,5,1.878,space,0.713,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.204,4,1.602,4,2.076,4,2.857,4,3.486,4,4.341,4,5.124,4,5.799,0.014814815,-0.353703704,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.27,4,2.332,4,3.261,4,3.87,4,4.578,4,5.453,4,6.297,4,7.937,0.027777778,-0.340740741,1,0,0,nextButton,,
,,182230,001,2023-02-05_17h49.29.914,fluency,2022.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tab,2.866
