idTextbox.text,welcomeDone.numClicks,welcomeDone.timesOn,welcomeDone.timesOff,participant,session,date,expName,psychopyVersion,OS,frameRate,consent_advance.keys,consent_advance.rt,consent_advance_2.keys,consent_advance_2.rt,consentClick.x,consentClick.y,consentClick.leftButton,consentClick.midButton,consentClick.rightButton,consentClick.time,consentClick.clicked_name,instr_advance_3.keys,instr_advance_3.rt,spec_instr_adv.keys,spec_instr_adv.rt,spec_instr_adv2.keys,spec_instr_adv2.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,steps,fams,face_file,cond,instr,term,key_map,attnKeyResp1.keys,attnKeyResp1.rt,q1.thisRepN,q1.thisTrialN,q1.thisN,q1.thisIndex,q1.ran,attnKeyResp2.keys,attnKeyResp2.rt,q2.thisRepN,q2.thisTrialN,q2.thisN,q2.thisIndex,q2.ran,attnKeyResp3.keys,attnKeyResp3.rt,q3.thisRepN,q3.thisTrialN,q3.thisN,q3.thisIndex,q3.ran,practiceStart.keys,practiceStart.rt,practiceResp.keys,timesRedone,redo_keypress.keys,redo_keypress.rt,practiceFailed.thisRepN,practiceFailed.thisTrialN,practiceFailed.thisN,practiceFailed.thisIndex,practiceFailed.ran,practiceRepeat.thisRepN,practiceRepeat.thisTrialN,practiceRepeat.thisN,practiceRepeat.thisIndex,practiceRepeat.ran,practiceResp.rt
60b94f837bfda8b1977feef0,1,[226.78379999995232],[226.79089999997618],799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,space,58.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,space,38.5678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,,,0.316102891,-0.337618403,1,0,0,18.9293,iAgree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,,,,,,,,,,space,25.0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,,,,,,,,,,,,space,43.6154,space,8.8763,0,0,0,31,1,9,3,img/B03_09.jpg,BLEND,Press J if the face is a BLEND and K if the face is a NON-BLEND,A blend is a computer-generated image created by combining together multiple photos of real human faces. A non-blend is a regular photo of a human face.,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,7.6013,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,7.4135,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,13.5479,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.3909,,1,space,10.7892,0,0,0,0,1,,,,,,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,799203,001,2023-10-24_21h44.46.256,fluency,2022.2.5,Win32,59.55571437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,,,,,,,,1,0,1,0,1,2.435
