cond,face_file,key_map,instr,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,redo_feedback_loop.thisRepN,redo_feedback_loop.thisTrialN,redo_feedback_loop.thisN,redo_feedback_loop.thisIndex,text.started,instr_advance.started,instr_advance.keys,instr_advance.rt,specific_instructions.started,spec_instr_adv.started,spec_instr_adv.keys,spec_instr_adv.rt,text_2.started,text_2.stopped,face_image.started,trial_prompt.started,key_resp.started,key_resp.keys,key_resp.rt,attractiveness_slider.started,attractiveness_instr.started,attractiveness_slider.response,attractiveness_slider.rt,out_of_time_2.started,redo_keypress.started,redo_keypress.keys,redo_keypress.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,8.879629799999748,8.879629799999748,space,0.6499022999996669,,,,,,,,,,,,,,,,,,,,702531,001,2022-11-27_23h33.28.606,fluency,2022.2.4,61.15321509969171,
GCNB,img/B09_01.jpg,DK,Press D if the face is GENDER-CONFORMING and K if the face is NONBINARY,0,0,0,2,,,,,,,,,,,,,,,,,9.575992799999767,9.575992799999767,space,0.9207888000000821,,,,,,,,,,,,,,,,702531,001,2022-11-27_23h33.28.606,fluency,2022.2.4,61.15321509969171,
CONTROL,img/B09_01.jpg,DK,Press D or K as soon as you see a face!,,,,,0,0,0,4,0,0,0,0,,,,,,,,,,,,,10.55856440000025,10.55856440000025,10.55856440000025,10.55856440000025,10.55856440000025,k,0.802658500000689,,,,,,,,,702531,001,2022-11-27_23h33.28.606,fluency,2022.2.4,61.15321509969171,
CONTROL,img/B09_01.jpg,DK,Press D or K as soon as you see a face!,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,11.387110499999835,11.387110499999835,3.7074074074074073,1.7794993999996223,,,,,702531,001,2022-11-27_23h33.28.606,fluency,2022.2.4,61.15321509969171,
GCNB,img/B09_01.jpg,DK,Press D if the face is GENDER-CONFORMING and K if the face is NONBINARY,,,,,0,1,1,2,0,0,0,0,0,0,0,0,,,,,,,,,13.185596700000133,14.791169500000251,14.791169500000251,14.791169500000251,14.791169500000251,None,,,,,,16.79881269999987,16.79881269999987,space,1.6269467000001896,702531,001,2022-11-27_23h33.28.606,fluency,2022.2.4,61.15321509969171,
GCNB,img/B09_01.jpg,DK,Press D if the face is GENDER-CONFORMING and K if the face is NONBINARY,,,,,0,1,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,702531,001,2022-11-27_23h33.28.606,fluency,2022.2.4,61.15321509969171,
GCNB,img/B09_01.jpg,DK,Press D if the face is GENDER-CONFORMING and K if the face is NONBINARY,,,,,0,1,1,2,1,0,1,0,0,0,0,0,,,,,,,,,18.447488599999815,19.28328109999984,19.28328109999984,19.28328109999984,19.28328109999984,None,,,,,,21.294729999999618,21.294729999999618,space,1.2673778000007587,702531,001,2022-11-27_23h33.28.606,fluency,2022.2.4,61.15321509969171,
GCNB,img/B09_01.jpg,DK,Press D if the face is GENDER-CONFORMING and K if the face is NONBINARY,,,,,0,1,1,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,702531,001,2022-11-27_23h33.28.606,fluency,2022.2.4,61.15321509969171,
GCNB,img/B09_01.jpg,DK,Press D if the face is GENDER-CONFORMING and K if the face is NONBINARY,,,,,0,1,1,2,2,0,2,0,,,,,,,,,,,,,22.593494599999758,24.842290999999932,24.842290999999932,24.842290999999932,24.842290999999932,k,0.7729981000002226,,,,,,,,,702531,001,2022-11-27_23h33.28.606,fluency,2022.2.4,61.15321509969171,
GCNB,img/B09_01.jpg,DK,Press D if the face is GENDER-CONFORMING and K if the face is NONBINARY,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,25.64077829999951,25.64077829999951,3.862962962962963,2.277226499999415,,,,,702531,001,2022-11-27_23h33.28.606,fluency,2022.2.4,61.15321509969171,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.938431800000217,,,,,,,,,,,,,,,,,,,,,
